dataId,instanceId,x0,x1,x2,x3,x4,y
forest_cover,0,2207.0,121.0,42.0,976.0,250.0,1
forest_cover,1,2504.0,44.0,162.0,1567.0,212.0,0
forest_cover,2,2190.0,105.0,201.0,551.0,252.0,1
forest_cover,3,2249.0,105.0,0.0,390.0,239.0,1
forest_cover,4,2310.0,95.0,30.0,190.0,241.0,1
forest_cover,5,2063.0,120.0,0.0,933.0,241.0,1
forest_cover,6,2493.0,97.0,404.0,532.0,251.0,0
forest_cover,7,2299.0,349.0,124.0,319.0,163.0,0
forest_cover,8,2080.0,47.0,42.0,1015.0,221.0,1
forest_cover,9,2177.0,106.0,182.0,510.0,253.0,1
forest_cover,10,2292.0,136.0,256.0,1429.0,246.0,1
forest_cover,11,2154.0,126.0,67.0,1033.0,253.0,1
forest_cover,12,2366.0,39.0,255.0,1284.0,217.0,0
forest_cover,13,2354.0,129.0,361.0,849.0,251.0,1
forest_cover,14,2019.0,65.0,150.0,162.0,232.0,0
forest_cover,15,2504.0,42.0,577.0,726.0,221.0,0
forest_cover,16,2166.0,81.0,0.0,1316.0,244.0,1
forest_cover,17,2365.0,70.0,85.0,480.0,235.0,0
forest_cover,18,2289.0,291.0,108.0,513.0,153.0,0
forest_cover,19,2170.0,334.0,379.0,481.0,153.0,0
forest_cover,20,2063.0,25.0,228.0,268.0,194.0,0
forest_cover,21,2394.0,292.0,175.0,300.0,131.0,0
forest_cover,22,2336.0,65.0,511.0,1440.0,233.0,1
forest_cover,23,2759.0,239.0,335.0,3094.0,82.0,0
forest_cover,24,2620.0,197.0,313.0,828.0,216.0,0
forest_cover,25,2129.0,18.0,30.0,1203.0,195.0,0
forest_cover,26,2128.0,227.0,192.0,564.0,179.0,0
forest_cover,27,2194.0,128.0,127.0,1307.0,252.0,1
forest_cover,28,2293.0,32.0,242.0,750.0,216.0,0
forest_cover,29,2409.0,132.0,255.0,1528.0,251.0,0
forest_cover,30,2686.0,96.0,404.0,875.0,232.0,0
forest_cover,31,2346.0,291.0,90.0,1410.0,129.0,0
forest_cover,32,2209.0,128.0,60.0,933.0,252.0,1
forest_cover,33,2215.0,25.0,182.0,1087.0,193.0,0
forest_cover,34,2279.0,344.0,283.0,1082.0,131.0,0
forest_cover,35,2189.0,80.0,0.0,618.0,234.0,1
forest_cover,36,2484.0,303.0,324.0,124.0,178.0,0
forest_cover,37,2197.0,128.0,30.0,124.0,234.0,0
forest_cover,38,2281.0,139.0,216.0,1364.0,246.0,1
forest_cover,39,2371.0,54.0,0.0,671.0,224.0,1
forest_cover,40,2359.0,250.0,297.0,870.0,158.0,1
forest_cover,41,2125.0,109.0,0.0,1167.0,247.0,1
forest_cover,42,2270.0,305.0,108.0,300.0,107.0,0
forest_cover,43,2150.0,69.0,277.0,499.0,234.0,0
forest_cover,44,2279.0,115.0,150.0,216.0,252.0,0
forest_cover,45,2586.0,166.0,175.0,1865.0,228.0,0
forest_cover,46,2020.0,355.0,201.0,242.0,165.0,0
forest_cover,47,2548.0,355.0,67.0,1328.0,185.0,0
forest_cover,48,2409.0,106.0,175.0,973.0,253.0,0
forest_cover,49,2534.0,103.0,418.0,391.0,252.0,0
forest_cover,50,2331.0,98.0,301.0,674.0,249.0,1
forest_cover,51,2355.0,82.0,446.0,999.0,227.0,1
forest_cover,52,2110.0,283.0,0.0,1120.0,194.0,1
forest_cover,53,2200.0,131.0,30.0,955.0,247.0,1
forest_cover,54,2362.0,266.0,247.0,1099.0,164.0,1
forest_cover,55,2160.0,108.0,85.0,1006.0,254.0,1
forest_cover,56,2374.0,65.0,0.0,633.0,232.0,1
forest_cover,57,2288.0,18.0,295.0,437.0,196.0,0
forest_cover,58,2295.0,119.0,234.0,966.0,252.0,1
forest_cover,59,2345.0,45.0,0.0,1355.0,221.0,1
forest_cover,60,2161.0,100.0,150.0,470.0,252.0,1
forest_cover,61,2431.0,104.0,175.0,641.0,252.0,0
forest_cover,62,2164.0,291.0,162.0,573.0,144.0,0
forest_cover,63,2388.0,160.0,134.0,644.0,228.0,0
forest_cover,64,2245.0,302.0,446.0,450.0,150.0,0
forest_cover,65,2314.0,55.0,212.0,201.0,228.0,0
forest_cover,66,2179.0,204.0,0.0,1254.0,200.0,1
forest_cover,67,2191.0,342.0,42.0,1003.0,203.0,1
forest_cover,68,2280.0,59.0,60.0,360.0,229.0,1
forest_cover,69,2064.0,307.0,0.0,511.0,174.0,1
forest_cover,70,2070.0,157.0,120.0,402.0,236.0,0
forest_cover,71,2381.0,104.0,469.0,534.0,243.0,0
forest_cover,72,2381.0,250.0,300.0,828.0,161.0,1
forest_cover,73,2421.0,329.0,424.0,932.0,151.0,0
forest_cover,74,2559.0,235.0,323.0,2407.0,193.0,0
forest_cover,75,2457.0,303.0,120.0,309.0,143.0,0
forest_cover,76,2525.0,348.0,277.0,1110.0,152.0,0
forest_cover,77,2290.0,43.0,0.0,1072.0,222.0,1
forest_cover,78,2190.0,120.0,124.0,1266.0,254.0,1
forest_cover,79,2267.0,45.0,0.0,95.0,219.0,1
forest_cover,80,2163.0,130.0,0.0,1380.0,247.0,1
forest_cover,81,1974.0,125.0,85.0,124.0,250.0,0
forest_cover,82,2318.0,306.0,0.0,582.0,182.0,1
forest_cover,83,2356.0,124.0,330.0,1106.0,253.0,1
forest_cover,84,2616.0,127.0,85.0,2125.0,240.0,0
forest_cover,85,2176.0,102.0,0.0,1168.0,234.0,1
forest_cover,86,2285.0,122.0,484.0,1445.0,249.0,1
forest_cover,87,2306.0,47.0,0.0,1282.0,223.0,1
forest_cover,88,2368.0,102.0,242.0,1026.0,252.0,1
forest_cover,89,2208.0,340.0,0.0,430.0,180.0,1
forest_cover,90,2133.0,3.0,0.0,1298.0,199.0,1
forest_cover,91,2044.0,13.0,0.0,331.0,205.0,1
forest_cover,92,2230.0,42.0,30.0,1260.0,204.0,0
forest_cover,93,2268.0,165.0,234.0,1134.0,232.0,1
forest_cover,94,2123.0,354.0,0.0,1249.0,193.0,1
forest_cover,95,2803.0,157.0,579.0,2658.0,238.0,0
forest_cover,96,2178.0,131.0,108.0,1158.0,251.0,1
forest_cover,97,2324.0,116.0,297.0,999.0,253.0,1
forest_cover,98,2339.0,188.0,201.0,633.0,221.0,0
forest_cover,99,2517.0,312.0,488.0,511.0,182.0,0
forest_cover,100,2459.0,118.0,300.0,404.0,254.0,0
forest_cover,101,2415.0,96.0,331.0,850.0,251.0,0
forest_cover,102,2217.0,313.0,30.0,1236.0,159.0,0
forest_cover,103,2269.0,117.0,134.0,531.0,253.0,1
forest_cover,104,2369.0,144.0,242.0,234.0,246.0,1
forest_cover,105,2041.0,356.0,30.0,612.0,170.0,1
forest_cover,106,2305.0,41.0,30.0,1253.0,221.0,1
forest_cover,107,2125.0,34.0,190.0,571.0,202.0,0
forest_cover,108,2356.0,117.0,339.0,876.0,251.0,1
forest_cover,109,2232.0,325.0,42.0,366.0,146.0,0
forest_cover,110,2325.0,130.0,300.0,937.0,252.0,1
forest_cover,111,2280.0,114.0,0.0,1471.0,236.0,1
forest_cover,112,2546.0,184.0,402.0,808.0,219.0,0
forest_cover,113,2329.0,324.0,283.0,741.0,172.0,0
forest_cover,114,2043.0,43.0,67.0,511.0,218.0,1
forest_cover,115,2516.0,199.0,124.0,834.0,215.0,0
forest_cover,116,2387.0,76.0,85.0,658.0,239.0,0
forest_cover,117,2310.0,117.0,162.0,446.0,254.0,1
forest_cover,118,2286.0,331.0,443.0,600.0,157.0,0
forest_cover,119,2205.0,139.0,0.0,764.0,247.0,1
forest_cover,120,2292.0,104.0,268.0,1425.0,240.0,1
forest_cover,121,2187.0,14.0,242.0,691.0,180.0,0
forest_cover,122,1995.0,52.0,0.0,120.0,225.0,1
forest_cover,123,2278.0,74.0,30.0,390.0,240.0,1
forest_cover,124,2118.0,340.0,95.0,418.0,140.0,0
forest_cover,125,2126.0,128.0,30.0,1198.0,248.0,1
forest_cover,126,2302.0,103.0,382.0,960.0,248.0,0
forest_cover,127,2459.0,173.0,212.0,218.0,225.0,0
forest_cover,128,2279.0,246.0,446.0,828.0,138.0,0
forest_cover,129,2360.0,126.0,212.0,1129.0,244.0,0
forest_cover,130,2365.0,262.0,566.0,579.0,170.0,0
forest_cover,131,2188.0,325.0,0.0,616.0,190.0,1
forest_cover,132,2288.0,132.0,324.0,745.0,248.0,1
forest_cover,133,2369.0,57.0,0.0,560.0,229.0,1
forest_cover,134,2265.0,194.0,339.0,1104.0,213.0,1
forest_cover,135,2000.0,318.0,30.0,108.0,201.0,1
forest_cover,136,2367.0,168.0,162.0,1517.0,231.0,0
forest_cover,137,2550.0,171.0,297.0,691.0,228.0,0
forest_cover,138,2225.0,143.0,30.0,551.0,237.0,1
forest_cover,139,2140.0,22.0,42.0,1315.0,213.0,1
forest_cover,140,2206.0,85.0,60.0,745.0,239.0,1
forest_cover,141,2541.0,359.0,488.0,960.0,202.0,0
forest_cover,142,2680.0,63.0,295.0,1025.0,230.0,0
forest_cover,143,2207.0,118.0,192.0,808.0,254.0,1
forest_cover,144,2078.0,326.0,0.0,1342.0,198.0,1
forest_cover,145,2190.0,114.0,30.0,1040.0,247.0,1
forest_cover,146,2111.0,211.0,0.0,616.0,208.0,1
forest_cover,147,2407.0,122.0,390.0,1050.0,242.0,0
forest_cover,148,2214.0,333.0,150.0,1390.0,138.0,0
forest_cover,149,2274.0,75.0,323.0,595.0,239.0,1
forest_cover,150,2471.0,317.0,153.0,0.0,175.0,0
forest_cover,151,2015.0,93.0,0.0,330.0,239.0,1
forest_cover,152,2696.0,151.0,150.0,1952.0,228.0,0
forest_cover,153,2118.0,62.0,0.0,1115.0,225.0,1
forest_cover,154,2515.0,188.0,300.0,940.0,208.0,0
forest_cover,155,2390.0,264.0,90.0,450.0,167.0,0
forest_cover,156,2201.0,337.0,0.0,774.0,200.0,1
forest_cover,157,2625.0,186.0,90.0,1907.0,208.0,0
forest_cover,158,2099.0,8.0,60.0,134.0,174.0,0
forest_cover,159,2254.0,145.0,0.0,342.0,231.0,1
forest_cover,160,2621.0,63.0,170.0,1683.0,224.0,0
forest_cover,161,2234.0,126.0,0.0,450.0,248.0,1
forest_cover,162,2109.0,271.0,153.0,295.0,121.0,0
forest_cover,163,2608.0,170.0,342.0,2649.0,230.0,0
forest_cover,164,2039.0,123.0,30.0,631.0,248.0,1
forest_cover,165,2219.0,128.0,124.0,1406.0,250.0,1
forest_cover,166,2126.0,137.0,60.0,836.0,249.0,1
forest_cover,167,2165.0,90.0,150.0,443.0,247.0,1
forest_cover,168,2560.0,241.0,600.0,778.0,204.0,0
forest_cover,169,2578.0,139.0,451.0,752.0,242.0,0
forest_cover,170,2055.0,102.0,240.0,258.0,250.0,0
forest_cover,171,2577.0,192.0,60.0,1358.0,217.0,0
forest_cover,172,2115.0,163.0,42.0,1293.0,233.0,1
forest_cover,173,2224.0,133.0,0.0,1130.0,248.0,1
forest_cover,174,2667.0,94.0,127.0,2448.0,249.0,0
forest_cover,175,2275.0,127.0,180.0,722.0,253.0,1
forest_cover,176,2131.0,271.0,60.0,1063.0,179.0,1
forest_cover,177,2270.0,79.0,0.0,658.0,230.0,1
forest_cover,178,2526.0,126.0,258.0,95.0,223.0,1
forest_cover,179,2353.0,239.0,256.0,1123.0,191.0,1
forest_cover,180,2319.0,171.0,408.0,1298.0,229.0,1
forest_cover,181,2312.0,111.0,216.0,531.0,254.0,1
forest_cover,182,2165.0,358.0,30.0,1300.0,199.0,0
forest_cover,183,2747.0,152.0,408.0,2408.0,241.0,0
forest_cover,184,2205.0,128.0,150.0,1323.0,252.0,1
forest_cover,185,2596.0,168.0,108.0,1400.0,230.0,0
forest_cover,186,2084.0,113.0,0.0,182.0,243.0,1
forest_cover,187,2052.0,93.0,30.0,365.0,242.0,1
forest_cover,188,2553.0,199.0,90.0,1101.0,204.0,0
forest_cover,189,2413.0,1.0,335.0,1104.0,185.0,0
forest_cover,190,2105.0,136.0,0.0,1397.0,244.0,1
forest_cover,191,2161.0,203.0,30.0,1154.0,189.0,1
forest_cover,192,2279.0,130.0,242.0,1008.0,249.0,1
forest_cover,193,2411.0,56.0,192.0,582.0,222.0,0
forest_cover,194,2226.0,357.0,30.0,510.0,138.0,0
forest_cover,195,2167.0,129.0,153.0,765.0,252.0,1
forest_cover,196,2032.0,24.0,175.0,216.0,185.0,0
forest_cover,197,2358.0,65.0,426.0,973.0,230.0,1
forest_cover,198,2092.0,284.0,295.0,402.0,170.0,0
forest_cover,199,2095.0,207.0,0.0,1414.0,212.0,1
forest_cover,200,2621.0,43.0,402.0,1943.0,222.0,0
forest_cover,201,2009.0,51.0,108.0,134.0,205.0,0
forest_cover,202,2006.0,53.0,0.0,255.0,227.0,1
forest_cover,203,2444.0,90.0,60.0,878.0,237.0,0
forest_cover,204,2487.0,266.0,201.0,391.0,202.0,0
forest_cover,205,2017.0,70.0,212.0,212.0,238.0,0
forest_cover,206,2278.0,138.0,228.0,1429.0,247.0,1
forest_cover,207,2248.0,111.0,0.0,902.0,242.0,1
forest_cover,208,2377.0,127.0,42.0,781.0,251.0,0
forest_cover,209,2310.0,153.0,127.0,108.0,236.0,0
forest_cover,210,2321.0,2.0,216.0,511.0,195.0,0
forest_cover,211,2328.0,327.0,382.0,1291.0,208.0,0
forest_cover,212,2191.0,19.0,0.0,551.0,214.0,1
forest_cover,213,2188.0,90.0,218.0,525.0,248.0,0
forest_cover,214,2763.0,233.0,335.0,3203.0,152.0,0
forest_cover,215,2263.0,126.0,350.0,1189.0,253.0,1
forest_cover,216,2174.0,120.0,0.0,1379.0,251.0,1
forest_cover,217,2420.0,122.0,153.0,765.0,253.0,0
forest_cover,218,2236.0,118.0,108.0,955.0,254.0,1
forest_cover,219,2003.0,355.0,0.0,127.0,211.0,1
forest_cover,220,2320.0,102.0,361.0,1110.0,252.0,1
forest_cover,221,2449.0,236.0,90.0,990.0,179.0,0
forest_cover,222,2334.0,308.0,277.0,918.0,128.0,0
forest_cover,223,2564.0,48.0,379.0,1337.0,220.0,0
forest_cover,224,2102.0,347.0,0.0,1290.0,208.0,1
forest_cover,225,2301.0,122.0,0.0,1022.0,225.0,1
forest_cover,226,2104.0,62.0,108.0,192.0,227.0,0
forest_cover,227,2339.0,126.0,518.0,1476.0,250.0,1
forest_cover,228,2230.0,337.0,0.0,1136.0,189.0,1
forest_cover,229,2376.0,104.0,0.0,1020.0,243.0,1
forest_cover,230,2317.0,230.0,466.0,1276.0,165.0,1
forest_cover,231,2492.0,53.0,180.0,277.0,227.0,0
forest_cover,232,2151.0,126.0,0.0,1456.0,247.0,1
forest_cover,233,2344.0,322.0,60.0,85.0,150.0,0
forest_cover,234,2140.0,135.0,0.0,1273.0,228.0,1
forest_cover,235,2199.0,116.0,150.0,1008.0,254.0,1
forest_cover,236,2619.0,229.0,285.0,2012.0,180.0,0
forest_cover,237,2311.0,290.0,256.0,882.0,161.0,0
forest_cover,238,2039.0,329.0,30.0,270.0,131.0,0
forest_cover,239,1991.0,337.0,0.0,180.0,183.0,1
forest_cover,240,2334.0,138.0,175.0,679.0,245.0,0
forest_cover,241,2296.0,124.0,192.0,1595.0,253.0,0
forest_cover,242,2227.0,137.0,175.0,1040.0,248.0,1
forest_cover,243,2731.0,120.0,437.0,660.0,243.0,0
forest_cover,244,2614.0,234.0,0.0,2155.0,216.0,0
forest_cover,245,2295.0,107.0,212.0,900.0,253.0,1
forest_cover,246,2816.0,108.0,594.0,2675.0,249.0,0
forest_cover,247,2307.0,358.0,228.0,1082.0,156.0,0
forest_cover,248,2467.0,334.0,582.0,1218.0,182.0,0
forest_cover,249,2239.0,135.0,309.0,1191.0,250.0,1
forest_cover,250,2339.0,134.0,285.0,741.0,250.0,1
forest_cover,251,2154.0,187.0,0.0,1140.0,218.0,1
forest_cover,252,2222.0,5.0,67.0,957.0,153.0,0
forest_cover,253,2200.0,143.0,30.0,1252.0,246.0,1
forest_cover,254,2019.0,139.0,0.0,534.0,243.0,0
forest_cover,255,2219.0,159.0,0.0,1110.0,233.0,1
forest_cover,256,2428.0,121.0,0.0,900.0,241.0,0
forest_cover,257,2212.0,189.0,95.0,295.0,219.0,0
forest_cover,258,2304.0,124.0,361.0,930.0,245.0,0
forest_cover,259,2221.0,351.0,30.0,1114.0,154.0,0
forest_cover,260,2100.0,71.0,108.0,295.0,238.0,1
forest_cover,261,2456.0,145.0,420.0,722.0,228.0,0
forest_cover,262,2290.0,28.0,85.0,1425.0,195.0,0
forest_cover,263,2443.0,172.0,488.0,743.0,229.0,0
forest_cover,264,2311.0,113.0,108.0,633.0,240.0,0
forest_cover,265,2139.0,84.0,120.0,430.0,242.0,1
forest_cover,266,2468.0,20.0,212.0,690.0,214.0,0
forest_cover,267,2383.0,16.0,426.0,1477.0,213.0,0
forest_cover,268,2510.0,86.0,309.0,552.0,245.0,0
forest_cover,269,2140.0,333.0,0.0,960.0,170.0,1
forest_cover,270,2419.0,48.0,0.0,395.0,224.0,1
forest_cover,271,2672.0,139.0,180.0,1935.0,248.0,0
forest_cover,272,2456.0,106.0,192.0,720.0,248.0,0
forest_cover,273,2554.0,45.0,0.0,1421.0,223.0,0
forest_cover,274,2193.0,66.0,0.0,765.0,235.0,1
forest_cover,275,2284.0,109.0,42.0,1216.0,252.0,0
forest_cover,276,2149.0,108.0,124.0,646.0,253.0,1
forest_cover,277,2249.0,113.0,134.0,934.0,253.0,1
forest_cover,278,2057.0,264.0,270.0,330.0,150.0,0
forest_cover,279,2344.0,95.0,150.0,379.0,237.0,0
forest_cover,280,2016.0,5.0,0.0,240.0,187.0,1
forest_cover,281,2119.0,113.0,210.0,417.0,250.0,0
forest_cover,282,2405.0,71.0,0.0,691.0,238.0,1
forest_cover,283,2120.0,108.0,108.0,541.0,254.0,1
forest_cover,284,2259.0,131.0,283.0,750.0,251.0,1
forest_cover,285,2115.0,135.0,0.0,1142.0,244.0,1
forest_cover,286,2265.0,127.0,134.0,807.0,253.0,1
forest_cover,287,2306.0,276.0,0.0,1262.0,203.0,1
forest_cover,288,2304.0,119.0,108.0,750.0,253.0,0
forest_cover,289,2078.0,85.0,0.0,735.0,238.0,1
forest_cover,290,2128.0,331.0,30.0,1189.0,137.0,1
forest_cover,291,1980.0,96.0,60.0,90.0,245.0,0
forest_cover,292,2206.0,123.0,67.0,1040.0,252.0,1
forest_cover,293,2637.0,135.0,390.0,2078.0,219.0,0
forest_cover,294,2558.0,212.0,90.0,1722.0,172.0,0
forest_cover,295,2229.0,100.0,0.0,960.0,252.0,0
forest_cover,296,2255.0,6.0,277.0,470.0,188.0,0
forest_cover,297,2383.0,125.0,362.0,430.0,252.0,0
forest_cover,298,2337.0,127.0,268.0,782.0,252.0,1
forest_cover,299,2295.0,127.0,212.0,726.0,252.0,1
adult,0,46.0,13.0,3.0,1.0,0.0,1
adult,1,47.0,13.0,3.0,1.0,0.0,0
adult,2,55.0,13.0,1.0,1.0,10520.0,1
adult,3,32.0,13.0,3.0,1.0,0.0,1
adult,4,42.0,10.0,1.0,0.0,0.0,0
adult,5,71.0,9.0,3.0,1.0,0.0,0
adult,6,38.0,13.0,3.0,1.0,7688.0,1
