Participant Id,Best NLL,Best MAE,Best time,Best retrieval_threshold,Best over_margin,Best chi,app_id,model,complexity,condition
6722f0dfa5df03f57bfa6c41,0.7008389638477455,0.24168361344945363,10.32544383030516,-0.005303862362852296,0.2058782620727424,0.00778385585527704,wine_quality,mlp,low,DT
662444ee097e69a6198e2b61,0.8770073656626499,0.17203016039722244,7.623120715354931,-0.07380567621259648,0.20057217463696794,0.015216307191254153,mushrooms,mlp,low,LR
67dfade9822d327646479dd9,1.8053157390368653,0.20508158594882464,12.238560842012502,0.47942330701228286,0.36979701952790817,0.013558621477957286,wine_quality,mlp,high,DT
623e8acb225d566928a597e1,1.7426080782636528,0.41656933613008124,7.484490115823479,-0.2881141739501194,0.28251886950151617,0.01313464252618096,mushrooms,mlp,low,LR
6753519ac83cda11cee58723,1.6792943907365128,0.3187414607603838,9.258716823246045,-1.8841882055548804,0.22536310306476956,0.0002702469742768088,wine_quality,mlp,low,DT+LR
684a12ce6791bc422c72abbb,1.7918821873877482,0.3462486348686752,10.209414662105763,-1.093517087306793,0.20038164958386956,0.014148493872102066,wine_quality,mlp,high,DT
64012ee6e3f2e59aaa36f718,1.7621726061131369,0.1906727772871523,11.154980872708462,-0.6782858088781081,0.20097485999374065,0.004818358233942899,wine_quality,mlp,high,DT
655cc53fcfb72a1332bf53a1,1.7872239290601388,0.5867437372878932,8.342918510477308,-1.1388842669534764,0.4972961269693694,0.00023574949863469419,mushrooms,mlp,low,DT+LR
6765f0f70b5bf9820e27589e,1.7590558141092507,0.4193124562768055,15.939703578090732,-1.125544788407858,0.21360159796893757,0.004026809013300616,mushrooms,mlp,high,DT+LR
610c3a97c3c801c90234bc25,1.422404586023886,0.36912294020730696,10.165882683649606,-1.9818053830290785,0.48479554232280636,0.014978906604160083,wine_quality,mlp,high,DT+LR
67a52e538c3355542c28ccc4,0.7023531750680865,0.15332362659465115,8.80085843244853,-1.1049491411525685,0.2222016884412582,0.011803415181581631,wine_quality,mlp,low,DT+LR
674f558d9765fc4eddb03092,1.2245982033501703,0.3351349936748481,10.47001040671297,-0.730119991843267,0.20891425056241908,0.013790764962649135,wine_quality,mlp,low,DT
67ebc99dd10b4321144f6232,1.1092348852616587,0.279132704851549,11.3479816265265,-0.12460374789959938,0.21903800790460215,0.0022145529664730733,mushrooms,mlp,high,DT
63d79d065189719c8393e3eb,1.3627538228410752,0.14338099585938763,9.872700157399924,-1.2698728138704611,0.3239118763967099,0.00454379752970163,wine_quality,mlp,high,LR
60fc2f923851f117e21b878f,1.6216526994887126,0.347329183823274,10.075700059951101,0.47621774688818164,0.21252947109619547,0.005884086491214706,mushrooms,mlp,low,DT
65d9422b826bdadcf98353f6,0.8092130528635982,0.32157341521245575,11.113585549933212,0.006113165966497469,0.21225219860564573,0.0027385624218699035,wine_quality,mlp,high,DT
6716993940988ed790a1aa1f,0.5296634867809744,0.21151192224850074,11.424860926624268,-0.005303862362852296,0.2058782620727424,0.00778385585527704,wine_quality,mlp,low,DT
636166ea0cf87f7a07f95810,1.6527500670589998,0.14985888329631222,12.463613655407226,-0.870244292128961,0.23554577650659378,0.001286571301373667,mushrooms,mlp,high,LR
6706c4459c604020ec3bcf97,1.1782739960727793,0.19703832502270918,9.269029285775025,0.30270286603123386,0.2027949723367406,0.007795995012835509,wine_quality,mlp,high,DT
668d3b9862f5a356423ded45,1.6424635077669407,0.1261327437506004,11.182331215335413,-0.12940368022623439,0.4992935439688203,0.015711338409525002,wine_quality,mlp,high,LR
66e3740c4bc40251bdd0667a,1.759242162877296,0.3206237516116671,11.098454186400158,-0.6495410815915181,0.2665105473226002,0.0020421145967589216,mushrooms,mlp,high,LR
68b87f72a4cd11b3e742a547,1.081751161109279,0.22485954717272855,7.484730864838222,-0.17187400304416922,0.21180630275928505,0.0020431278975760027,mushrooms,mlp,low,LR
67e61b498a7d8562de019a6a,1.7342156353526093,0.334159942296575,11.679782793993272,-1.1112960904078175,0.4978581389721613,0.013480142726565423,mushrooms,mlp,high,LR
614dfff96ff5d757adcbc179,0.9252021387958207,0.2795105638385398,10.179128057294653,0.3301547738284918,0.22800728497566314,0.011258121434132065,wine_quality,mlp,low,DT+LR
62da1426073a33a20028a827,1.1938662430208389,0.28107997543061586,7.595449928762429,0.23239075937469877,0.20963553928057893,0.0129631601531963,mushrooms,mlp,low,LR
67217069ec642ab038feec41,1.1923874756975708,0.23721532461360853,10.245050555603255,0.3301547738284918,0.22800728497566314,0.011258121434132065,mushrooms,mlp,low,DT
65088c0b395fa983448de8dd,1.7831677314100176,0.5790630106366308,7.595028957483609,-1.6474958136549496,0.4985859996026163,0.009565447947626534,mushrooms,mlp,low,LR
677d27908064d9a59051cb91,0.9053211563384285,0.20269367774612293,7.650828700039446,-1.805624137736704,0.2214783607742231,0.019044081205372196,mushrooms,mlp,low,LR
55e9d2197480920012aa9751,1.7057634592847584,0.3493150136227756,10.725414884460147,-1.8490055078775303,0.49860183841175587,0.008524909005281195,mushrooms,mlp,high,LR
66707f3a4435f4e05d0940a1,1.2620201757436917,0.21820259824390834,11.43613147514733,-1.40989092389228,0.20694872388059438,0.0031422377429758063,mushrooms,mlp,high,DT
5fa1d163e5f865369dd23d70,0.9106745953574649,0.20929479536904233,12.313492674672473,-1.9591093187367923,0.21465054062394312,0.010458813458984124,wine_quality,mlp,high,DT
676c9fdb29eb6558c47a3a25,0.5748981437739616,0.2628472520206454,11.405354667925272,-0.07380567621259648,0.20057217463696794,0.015216307191254153,wine_quality,mlp,low,DT
670639c708977ff6472b55cd,0.6572397620648323,0.2218405431516391,11.738178737454145,-0.005303862362852296,0.2058782620727424,0.00778385585527704,wine_quality,mlp,low,DT
677cc413f40496079c7a821e,1.3424311671439437,0.22322089060606473,9.753439998427641,-0.6576450088046586,0.20196241111372976,0.017275570447470807,mushrooms,mlp,low,DT+LR
63cdba9e0c27bf2817c222d0,1.503975793504439,0.4288903743956924,11.18849356216433,-1.4015425970804056,0.23679810978698385,0.017503256685860346,wine_quality,mlp,high,LR
6108301d7312fe3f452c24eb,0.5267326124976868,0.2766058999314951,13.722254093737769,0.30270286603123386,0.2027949723367406,0.007795995012835509,mushrooms,mlp,low,DT
68b5b1cf488ac6efc256f576,1.0790521553258063,0.24677663835632124,7.512268090278352,0.006113165966497469,0.21225219860564573,0.0027385624218699035,mushrooms,mlp,low,LR
65109ae35fe1f21ea89c8785,1.2113555230244324,0.2759373310056316,11.321462811668502,-1.743014202459158,0.20095108096324452,0.012270193481843134,mushrooms,mlp,low,DT+LR
66f18a0dc9cc467c3ef214dd,1.5386740488067352,0.27525307211581085,13.71473301262717,0.3402755818695926,0.25712223484857133,0.0032242136895772556,wine_quality,mlp,high,DT+LR
6769b7d07d41e314ab9b915d,1.1578903516757726,0.3591629083679558,9.024000883438342,0.3301547738284918,0.22800728497566314,0.011258121434132065,wine_quality,mlp,low,DT+LR
67a3940b5886c0df14017090,0.6311162702433688,0.16012527758095285,11.224070757824268,-1.3023414969490128,0.23251701066596173,0.00901548758444322,wine_quality,mlp,low,DT
6669a9dd31aed01f0969b063,0.8329362135616751,0.25699133777189365,9.75372385955114,-1.3197462384576626,0.23015155203379506,0.002214681792194535,mushrooms,mlp,low,DT+LR
6811ffcdbe04a28e7b3ab8a9,1.7917615138469636,0.512502410093105,12.62069561806736,-1.6383143095395836,0.2599603270241517,0.019190641629495287,wine_quality,mlp,high,LR
67abadae1c6d8443b84ce687,1.0642681517265493,0.2485643056218949,11.423171619344924,-1.9310372764415633,0.21625885214796983,0.007310736951909709,mushrooms,mlp,high,DT
675cd90b9a562ef66a39f29b,1.0884300416460604,0.20431454557364664,7.704690077005395,-0.07380567621259648,0.20057217463696794,0.015216307191254153,mushrooms,mlp,low,LR
614deec82f82c126feeddf3d,1.0371305236659916,0.1762532989450717,7.410814438380475,0.08478780654638607,0.22398580789514141,0.013396299604339664,wine_quality,mlp,low,LR
657dae23f3bac23e1b62a01e,0.8578602467937906,0.1534527668094699,7.623197988968724,-1.3197462384576626,0.23015155203379506,0.002214681792194535,mushrooms,mlp,low,LR
5f4bd69cacc7c47c56d50599,1.7869763897765423,0.22192460426483476,8.22042221898099,0.030236266639434017,0.4770034994081169,0.005531487955942125,wine_quality,mlp,high,DT+LR
5bb23e550a35ed00019dd901,1.7917311398336355,0.26447329210240217,10.790033819345636,-0.24595895179116134,0.2010667041381745,0.001933801402081108,mushrooms,mlp,high,LR
67340d3d9effb5a07a91f053,1.0348700519597982,0.1888205536562454,9.898276366995168,-0.44771838908158923,0.2044297301928493,0.00023359470709390705,mushrooms,mlp,low,DT
