Participant Id,AppId,Complexity,T_enc,T_op,chi_value,ddm_a,ddm_s,lapse,latency_factor,retrieval_threshold
66f7162d563cd69ac2bd9e3a,Wine Quality,low,1.5,0.5,0.001,0,1.0,0.005,0.2,-0.3
676c9fdb29eb6558c47a3a25,Wine Quality,low,2.9999999999999996,0.5,0.0,0,0.4408812919137296,0.005,0.2,-1.7118903954046727
65958438929aaa555306b792,Wine Quality,low,2.9999999999999996,0.5,0.02,0,1.0885066807863841,0.005,0.2,1.5
67eda92ff014b05ef5504c8a,Wine Quality,high,0.5,0.5,0.01670942809646264,0,0.7370075827169087,0.005,0.2,1.1057383141516146
67106db41ff8f7b72bd2c237,Wine Quality,high,0.5,0.5,0.0,0,1.2,0.005,0.2,0.07654795099410983
575da735e6e5a10007016e41,Wine Quality,high,0.5,0.5,0.006266245537323428,0,0.2,0.005,0.2,-2.0
5f4bd69cacc7c47c56d50599,Wine Quality,high,2.9999999999999996,0.5,0.0,0,0.3476170874257513,0.005,0.2,1.5
67a52e538c3355542c28ccc4,Wine Quality,low,0.5,0.5,0.005931726570534122,0,0.2,0.005,0.2,-2.0
5f406b7ae388cd1ad1d144cf,Wine Quality,low,2.9999999999999996,0.5,0.01735298222401835,0,0.5772914208682531,0.005,0.2,0.8348034738424364
663e9e851f6562b985edb39b,Wine Quality,low,0.6970275522385981,0.5,0.014687743468145262,0,1.056515647033716,0.005,0.2,-0.5236050741180394
66ed6564eac280bcef718558,Wine Quality,high,1.1224015264309404,0.5,0.001991007882569255,0,1.2,0.005,0.2,-0.005617480357543059
67a512649c0c090e741461df,Wine Quality,high,0.7861222388647654,0.5,0.005432647092250542,0,0.8717210657715688,0.005,0.2,-0.2351584936936566
668d3b9862f5a356423ded45,Wine Quality,high,1.3932728638711962,0.5,0.006864690691505129,0,0.3217020202850086,0.005,0.2,-1.5695198051750845
67cedcd74a56e0b60e71cbc7,Wine Quality,low,2.9999999999999996,0.5,0.004466109611835275,0,0.6359789505981659,0.005,0.2,1.5
67a82cb9cba582991521b725,Wine Quality,low,1.2803363107177783,0.5,0.0004612485008283152,0,0.20706630521971742,0.005,0.2,0.14078606170898356
680d098a9009eca86553f538,Wine Quality,low,0.5,0.5,0.01668061482632506,0,0.5384309024268367,0.005,0.2,1.350001629177826
68b06833d0f0b32c10a25e9d,Wine Quality,low,0.5,0.5,0.0025234852023929594,0,0.2,0.005,0.2,0.006280312499047369
66a034e0dab1396aa5d17683,Wine Quality,high,0.5,0.5,0.0,0,0.9797919221559803,0.005,0.2,0.4248949098902135
65103037afb54bea65fe2564,Wine Quality,high,0.5,0.5,0.014334532204064868,0,0.2,0.005,0.2,1.2967175809203852
6536a9f9ac4d61b9d34f5b3b,Wine Quality,high,1.303969263362412,0.5,0.0,0,1.1673877975304592,0.005,0.2,-1.9601803976984555
60fee48ed856348cd4742c76,Wine Quality,low,2.1293192911894576,0.5,0.0,0,0.8172299180133256,0.005,0.2,-0.4548123639879518
66676132d9fab1ab64aef693,Wine Quality,low,0.5,0.5,0.0,0,0.7076465161444851,0.005,0.2,0.8847224563750196
6741015f44dae37fe51c248c,Wine Quality,low,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
668324a7a0e191cfb2ff1c45,Wine Quality,high,2.9999999999999996,0.5,0.0075364189921621905,0,1.1300794376755825,0.005,0.2,-1.3516362486146576
67dfade9822d327646479dd9,Wine Quality,high,1.6574536902967625,0.5,0.02,0,0.40803315724709954,0.005,0.2,1.0314499351132147
6734fea463aec8e2cdfa8376,Wine Quality,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
6782b152b9f7ae9d753eebea,Wine Quality,high,0.5,0.5,0.0,0,0.4488422071396839,0.005,0.2,-2.0
66881fbe723bc57d75a2c268,Wine Quality,high,0.5,0.5,0.0049325781292332786,0,0.2,0.005,0.2,-2.0
6631d1c59cc1588986a77fdf,Wine Quality,high,2.1776890769561112,0.5,0.0,0,0.9802402126489451,0.005,0.2,1.2248204244712957
6604106e909295cd8beb5500,Wine Quality,high,1.1094055989915097,0.5,0.0,0,0.2,0.005,0.2,-1.0053117493307482
66c4cd8fe64a9fe553dceb02,Wine Quality,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
62952581eac36937c58074eb,Wine Quality,low,1.7581370460701964,0.5,0.02,0,0.8106547061578677,0.005,0.2,1.419720105609633
6769b7d07d41e314ab9b915d,Wine Quality,low,0.5,0.5,0.0,0,1.2,0.005,0.2,0.8912429004820805
6743424be7ffabc75610b8a7,Wine Quality,high,2.9999999999999996,0.5,0.0,0,0.9103355042532775,0.005,0.2,0.27011258673326566
67353f8cb327d43c7edd5baa,Wine Quality,high,0.5,0.5,0.005771709254233522,0,0.2,0.005,0.2,0.12110221485898576
6648b67329cd00b8b3d15961,Wine Quality,low,1.5206020677929628,0.5,0.008024673533198377,0,1.2,0.005,0.2,-0.7727593095931713
64012ee6e3f2e59aaa36f718,Wine Quality,high,0.7299132118204847,0.5,0.0,0,1.1876552175295656,0.005,0.2,-0.6125171107666891
67133a2fd23979ab8f56d45e,Wine Quality,high,1.8649557657703029,0.5,0.0,0,0.7780307391206926,0.005,0.2,-0.8869774567647966
66e3219ee1323f5b73c46de4,Wine Quality,low,2.9999999999999996,0.5,0.006698391705214905,0,0.5749020203724262,0.005,0.2,0.3781381451378407
664cf163c3b3f18d95694267,Wine Quality,high,2.9999999999999996,0.5,0.0,0,0.2,0.005,0.2,-2.0
673903fdaef005bb3bc5543a,Wine Quality,low,2.9999999999999996,0.5,0.011374794443493786,0,1.2,0.005,0.2,1.5
6716a745ad18edee364462c5,Wine Quality,low,0.5,0.5,0.013279599050459452,0,1.2,0.005,0.2,0.4882557324722683
5fbb9d43846c1196282151be,Wine Quality,high,0.8337859300575726,0.5,0.0,0,0.2,0.005,0.2,-1.1279466055436147
672f52a00a313a6c80a37ab3,Wine Quality,low,0.8685735951501299,0.5,0.018644913631371267,0,0.2,0.005,0.2,0.24977866424350337
63d79d065189719c8393e3eb,Wine Quality,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
6743de7c5d4870f0b6095e0f,Wine Quality,low,1.4929866552027653,0.5,0.008410884265407894,0,1.2,0.005,0.2,0.9041399980168601
6738e3c0b433f261dc46a599,Wine Quality,high,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
677f57a7387f244691390c1e,Wine Quality,high,1.190248582372359,0.5,0.0,0,1.05317195965319,0.005,0.2,-0.35914127172483146
677c428b0a18d643be2e9cb7,Wine Quality,high,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,0.901010104393626
60fda6ddc49d4c2450eee19b,Wine Quality,low,0.5,0.5,0.008505645154586228,0,1.0134460116080628,0.005,0.2,-1.1893796812998254
67516c560c6e5099c1f9b277,Wine Quality,low,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
673652c092159f4d33692cc6,Wine Quality,high,1.5,0.5,0.001,0,1.0,0.005,0.2,-0.3
67f03209ccb6f27a49e7903d,Wine Quality,high,0.6135096468138954,0.5,0.0,0,1.060091470960563,0.005,0.2,0.4101918098059292
6144edd8077a4700f1d8aad5,Wine Quality,high,0.5492056226540039,0.5,0.0003296287534493311,0,1.1010676321772048,0.005,0.2,-0.43443575819095237
676874491a6f64415c6c4698,Wine Quality,low,2.9999999999999996,0.5,0.01280575458581722,0,1.2,0.005,0.2,1.5
5f821f401a35f5337def5f24,Wine Quality,high,0.5,0.5,0.0,0,0.6534979362398634,0.005,0.2,0.05307162911733654
67e081d172ca42eb59502aef,Wine Quality,high,0.5,0.5,0.02,0,1.2,0.005,0.2,0.6754426582343207
66a134f37056fd550bdd77ff,Wine Quality,high,0.7587545596682491,0.5,0.01947511037682919,0,0.24666566321361544,0.005,0.2,-0.6004865989966055
65c3c8817a4a04a9dbcd3a2c,Wine Quality,high,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,0.5777256477076005
66f18a0dc9cc467c3ef214dd,Wine Quality,high,0.8262743850727455,0.5,0.00660092853413552,0,0.6788687319296349,0.005,0.2,-0.43021419480021517
67ada01dd3c9bf306719955f,Wine Quality,high,0.5,0.5,0.0,0,0.5814605878985045,0.005,0.2,-2.0
5f416e4fb48a1930e3437c97,Wine Quality,low,0.5,0.5,0.02,0,0.9851299594788123,0.005,0.2,-2.0
67ae22e234039c88a4aaac98,Wine Quality,low,2.9999999999999996,0.5,0.011767115644879651,0,1.2,0.005,0.2,1.5
67e85abca44b52f2e03fcbb1,Wine Quality,low,0.5,0.5,0.00530210003077408,0,0.2,0.005,0.2,-1.0501707265728641
670639c708977ff6472b55cd,Wine Quality,low,0.573163945042338,0.5,0.02,0,0.6133632165371656,0.005,0.2,-0.9742031948624048
67e5f4dc9733153e1694ff53,Wine Quality,high,2.9999999999999996,0.5,0.02,0,1.2,0.005,0.2,-1.2970419271586602
6571d01194123ad97ada8eed,Wine Quality,high,0.5,0.5,0.0,0,1.037391384204242,0.005,0.2,0.7937402230211457
6888ef1c4b2aaea8b61ec0e3,Wine Quality,high,1.2439149880949754,0.5,0.006481724999472471,0,1.196592312658785,0.005,0.2,0.33995677782119493
67e42eae269ad71d5355f149,Wine Quality,low,1.2803363107177783,0.5,0.0004612485008283152,0,0.20706630521971742,0.005,0.2,0.14078606170898356
67fd2f54f6314acfc54c4f11,Wine Quality,high,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,-2.0
67919517904684e49fc1556b,Wine Quality,high,1.511694430931986,0.5,0.019844231185824356,0,0.20077876584101434,0.005,0.2,1.2849344815551262
675a44760d516e1076ba68fd,Wine Quality,low,2.9999999999999996,0.5,0.0,0,1.0033699866629422,0.005,0.2,-0.7831279624636815
6667857039e0002ee5bb270e,Wine Quality,low,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
677d3d863d7c5b877712518e,Wine Quality,low,1.0454968793992274,0.5,0.02,0,1.2,0.005,0.2,1.5
67e429e9873500ef3343bf00,Wine Quality,low,0.8619768386321098,0.5,0.02,0,1.2,0.005,0.2,-2.0
65e84adb6f06957a658f1f25,Wine Quality,high,2.9999999999999996,0.5,0.0027703256479335975,0,1.1866569879386566,0.005,0.2,-1.6521950053663308
66d8ce4e588a3ca80699a6a7,Wine Quality,low,0.5,0.5,0.0,0,1.2,0.005,0.2,1.187168140089892
5bf50a11499f2f0001d98ddf,Wine Quality,low,2.9999999999999996,0.5,0.0,0,1.0827524745152546,0.005,0.2,1.5
6753519ac83cda11cee58723,Wine Quality,low,1.4039145046193662,0.5,0.01166130261474516,0,1.2,0.005,0.2,-0.9047842210221624
677c72baf34be54a8e7b903e,Wine Quality,high,0.8985818176723832,0.5,0.0010234729043926511,0,0.9752617402660932,0.005,0.2,0.1679613919181664
66dad383980bc872c801ed55,Wine Quality,high,1.2803363107177783,0.5,0.0004612485008283152,0,0.20706630521971742,0.005,0.2,0.14078606170898356
674e0771f3216542d0539c7b,Wine Quality,low,1.5305661502300285,0.5,0.0,0,0.9332565835678008,0.005,0.2,-1.0979763923630195
5fb3482be542f3a884f241dc,Wine Quality,high,0.5,0.5,0.0,0,1.2,0.005,0.2,-0.0595590306572904
674f558d9765fc4eddb03092,Wine Quality,low,0.5,0.5,0.01605815618275641,0,1.2,0.005,0.2,1.5
67119e968055c46e646c9870,Wine Quality,low,1.5802030461275818,0.5,0.0,0,0.2,0.005,0.2,0.2497870750877782
610c3a97c3c801c90234bc25,Wine Quality,high,1.15810660489659,0.5,0.0,0,0.2,0.005,0.2,0.396795593940221
6722f0dfa5df03f57bfa6c41,Wine Quality,low,0.5,0.5,0.0011457589301858927,0,0.2,0.005,0.2,0.24188452091589285
667b2ec03ac02b5cabd8bfd8,Wine Quality,high,2.857334476175776,0.5,0.0062803118835216675,0,0.2,0.005,0.2,0.8500653476626794
67a3940b5886c0df14017090,Wine Quality,low,2.0865460931835234,0.5,0.0,0,1.2,0.005,0.2,-2.0
67903549220df407a2c82edd,Wine Quality,low,2.762991918224773,0.5,0.011613169065779715,0,0.2,0.005,0.2,-2.0
67634ea9cb3b8160fc7f00f0,Wine Quality,low,1.5,0.5,0.001,0,1.0,0.005,0.2,-0.3
6811ffcdbe04a28e7b3ab8a9,Wine Quality,high,1.024506351798773,0.5,0.0,0,1.2,0.005,0.2,-2.0
65006385ae3b0aa61a642e29,Mushrooms,high,1.5264507599982267,0.5,0.02,0,0.4517529690969471,0.005,0.2,1.0106147278185191
67acfb244f95ff16b8c04704,Mushrooms,high,0.5,0.5,0.0,0,0.9973279802623916,0.005,0.2,-1.407914774379998
67abadae1c6d8443b84ce687,Mushrooms,high,0.5,0.5,0.0,0,0.6721629583579836,0.005,0.2,-0.01515324985925659
670c2cc6d47a5af30e54a1b7,Mushrooms,low,0.5000000000000001,0.5,0.02,0,1.2,0.005,0.2,1.5
611202ff20bc8f6143b2b906,Mushrooms,high,0.5,0.5,0.0,0,1.1284006674029832,0.005,0.2,-2.0
6144b21806fb764e5f179bc2,Mushrooms,high,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
67413944bea8f72bf0e85ee0,Mushrooms,high,1.511694430931986,0.5,0.019844231185824356,0,0.20077876584101434,0.005,0.2,1.2849344815551262
68111c116d884447584ec884,Mushrooms,low,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,1.5
66707f3a4435f4e05d0940a1,Mushrooms,high,1.8026216409551314,0.5,0.0,0,1.0710096425081945,0.005,0.2,-2.0
67d1f22e4a4e2154f7069121,Mushrooms,low,2.74755250401718,0.5,0.0,0,0.2,0.005,0.2,1.5
66fd4cf0290e991fb59105ee,Mushrooms,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
6646555bb6bf80457ea8dac4,Mushrooms,low,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
660c9fe7b2e6bf22bcc608b1,Mushrooms,high,1.5572568933507887,0.5,0.02,0,1.2,0.005,0.2,0.5788780221897216
677cc413f40496079c7a821e,Mushrooms,low,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
66fae4bae71ae61cda501834,Mushrooms,high,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
67217069ec642ab038feec41,Mushrooms,low,2.062716123069983,0.5,0.0,0,1.2,0.005,0.2,0.08328899758619324
66463a2c0a36377060b1910c,Mushrooms,high,0.5,0.5,0.010494092278952672,0,1.2,0.005,0.2,1.0493247096164113
66ad139637e066318f759155,Mushrooms,high,2.9999999999999996,0.5,0.0,0,1.040195351119984,0.005,0.2,1.5
6789809f8a3360391e622469,Mushrooms,low,0.5,0.5,0.015146929980317914,0,0.3964039174397883,0.005,0.2,0.44484796781134284
67446a0309a2bfd11c4ac73d,Mushrooms,high,2.9999999999999996,0.5,0.008535912976172634,0,1.2,0.005,0.2,0.419656463753173
